,Postcode,Mexican Restaurant,Postcode Latitude,Postcode Longitude
0,M1B,1,43.8066863,-79.19435340000003
1,M1C,2,43.7845351,-79.16049709999999
2,M1E,8,43.7635726,-79.1887115
3,M1G,3,43.7709921,-79.21691740000001
4,M1H,8,43.773136,-79.23947609999998
5,M1J,2,43.7447342,-79.23947609999998
6,M1K,6,43.7279292,-79.26202940000002
7,M1L,9,43.7111117,-79.2845772
8,M1M,4,43.716316,-79.23947609999998
9,M1N,4,43.692657,-79.2648481
10,M1P,6,43.7574096,-79.27330400000002
11,M1R,7,43.7500715,-79.2958491
12,M1S,4,43.7942003,-79.26202940000002
13,M1T,13,43.7816375,-79.3043021
14,M1V,2,43.8152522,-79.2845772
15,M1W,16,43.79952520000001,-79.3183887
16,M2H,5,,
17,M2J,63,43.8037622,-79.3634517
18,M2K,4,43.7785175,-79.3465557
19,M2L,1,43.7869473,-79.385975
20,M2N,34,43.7574902,-79.37471409999998
21,M2P,4,,
22,M2R,6,43.7701199,-79.40849279999998
23,M3A,4,43.7527583,-79.4000493
24,M3B,5,43.7827364,-79.4422593
25,M3C,22,43.7532586,-79.3296565
26,M3H,21,43.7459058,-79.352188
27,M3J,4,43.72589970000001,-79.340923
28,M3K,3,43.7543283,-79.4422593
29,M3L,5,43.7679803,-79.48726190000002
30,M3M,3,43.7374732,-79.46476329999999
31,M3N,4,43.7390146,-79.5069436
32,M4A,4,43.7284964,-79.49569740000003
33,M4B,12,43.7616313,-79.52099940000002
34,M4C,9,43.7258823,-79.31557159999998
35,M4E,5,43.7063972,-79.309937
36,M4G,33,43.69534390000001,-79.3183887
37,M4H,21,43.67635739999999,-79.2930312
38,M4J,2,43.7090604,-79.3634517
39,M4K,41,43.7053689,-79.34937190000002
40,M4L,20,43.685347,-79.3381065
41,M4M,42,43.6795571,-79.352188
42,M4N,5,43.6689985,-79.31557159999998
43,M4P,7,43.6595255,-79.340923
44,M4R,23,43.7280205,-79.3887901
45,M4S,36,43.7127511,-79.3901975
46,M4T,4,43.7153834,-79.40567840000001
47,M4V,14,43.7043244,-79.3887901
48,M4W,4,43.6895743,-79.38315990000002
49,M4X,49,43.68641229999999,-79.4000493
50,M4Y,83,43.6795626,-79.37752940000001
51,M5A,46,43.667967,-79.3676753
52,M5B,100,43.6658599,-79.38315990000002
53,M5C,100,43.6542599,-79.3606359
54,M5E,56,43.6571618,-79.37893709999999
55,M5G,82,43.6514939,-79.3754179
56,M5H,100,43.6447708,-79.3733064
57,M5J,100,43.6579524,-79.3873826
58,M5K,100,43.65057120000001,-79.3845675
59,M5L,100,43.6408157,-79.38175229999997
60,M5M,24,43.6471768,-79.38157640000001
61,M5N,2,43.6481985,-79.37981690000002
62,M5P,4,43.7332825,-79.4197497
63,M5R,22,43.7116948,-79.41693559999999
64,M5S,36,43.6969476,-79.41130720000002
65,M5T,84,43.6727097,-79.40567840000001
66,M5V,17,43.6626956,-79.4000493
67,M5W,96,43.6532057,-79.4000493
68,M5X,100,43.6289467,-79.3944199
69,M6A,12,43.6464352,-79.37484599999998
70,M6B,4,43.6484292,-79.3822802
71,M6C,4,43.718518,-79.46476329999999
72,M6E,4,43.709577,-79.44507259999997
73,M6G,18,43.6937813,-79.42819140000002
74,M6H,19,43.6890256,-79.453512
75,M6J,53,43.669542,-79.4225637
76,M6K,22,43.66900510000001,-79.4422593
77,M6L,4,43.647926700000006,-79.4197497
78,M6M,5,43.6368472,-79.42819140000002
79,M6N,4,43.71375620000001,-79.4900738
80,M6P,24,43.6911158,-79.47601329999998
81,M6R,14,43.67318529999999,-79.48726190000002
82,M6S,39,43.6616083,-79.46476329999999
83,M7A,38,43.6489597,-79.456325
84,M7R,12,43.6515706,-79.4844499
85,M7Y,16,43.6623015,-79.3894938
86,M8V,15,43.6369656,-79.61581899999999
87,M8W,11,43.6627439,-79.321558
88,M8X,3,43.6056466,-79.50132070000002
89,M8Y,2,43.60241370000001,-79.54348409999999
90,M8Z,15,43.65365360000001,-79.5069436
91,M9B,1,43.6362579,-79.49850909999998
92,M9C,7,43.6288408,-79.52099940000002
93,M9L,1,,
94,M9M,1,43.6509432,-79.55472440000001
95,M9N,2,43.6435152,-79.57720079999999
96,M9P,6,43.7563033,-79.56596329999998
97,M9R,4,43.7247659,-79.53224240000002
98,M9V,9,43.706876,-79.51818840000001
99,M9W,2,43.696319,-79.53224240000002
